ID,GATA2,GATA1,FOG1,EKLF,Fli1,SCL,CEBPa,PU1,cjun,EgrNab,Gfi1
Erythrocyte,0,1,1,1,0,1,0,0,0,0,0
Megakaryocyte,1,1,1,0,1,1,0,0,0,0,0
Monocyte,0,0,0,0,0,0,1,1,1,1,0
Granulocyte,0,0,0,0,0,0,1,1,0,0,1
